,Weight
Aroma,0.014642294747072813
Flavor,0.14390508081544232
Aftertaste,0.09850340999296095
Acidity,0.032221966847030784
Balance,0.07068465213162034
Uniformity,0.0010595156707943064
Clean.Cup,0.01634878505982215
Sweetness,-0.010183119192632437
x0_Guatemala,-0.028720893064705467
